ID,Construction,Reflectance,U-Factor with Film [W/m2-K],U-Factor no Film [W/m2-K],Gross Area [m2],Net Area [m2],Azimuth [deg],Tilt [deg]
14126_WALL_3_0_0,7,0.3,0.661,0.733,17.57,17.19,225,90
14126_WALL_4_0_0,7,0.3,0.661,0.733,12.69,11.61,135,90
14126_WALL_5_0_0,7,0.3,0.661,0.733,17.57,10.85,45,90
14126_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,37.44,37.44,225,180
14135_WALL_3_0_0,7,0.3,0.661,0.733,8.57,6.62,225,90
14135_WALL_4_0_0,7,0.3,0.661,0.733,3.93,2.96,135,90
14135_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,13.74,13.74,225,180
14144_WALL_5_0_0,7,0.3,0.661,0.733,3.89,2.92,225,90
14144_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,1.3,1.3,225,180
14144_GROUNDFLOOR_0_0_1,1,0.4,0.253,0.264,3.1,3.1,225,180
14153_WALL_3_0_0,7,0.3,0.661,0.733,2.67,1.7,225,90
14153_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,0.08,0.08,225,180
14153_GROUNDFLOOR_0_0_1,1,0.4,0.253,0.264,0.57,0.57,225,180
14153_GROUNDFLOOR_0_0_2,1,0.4,0.253,0.264,4.28,4.28,225,180
14164_WALL_2_0_0,7,0.3,0.661,0.733,12.49,11.22,315,90
14164_WALL_3_0_0,7,0.3,0.661,0.733,18.59,11.63,225,90
14164_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,0.03,0.03,225,180
14164_GROUNDFLOOR_0_0_1,1,0.4,0.253,0.264,6.46,6.46,225,180
14164_GROUNDFLOOR_0_0_2,1,0.4,0.253,0.264,29.8,29.8,225,180
14175_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,1.19,1.19,225,180
14175_GROUNDFLOOR_0_0_1,1,0.4,0.253,0.264,0.43,0.43,225,180
14175_GROUNDFLOOR_0_0_2,1,0.4,0.253,0.264,7.87,7.87,225.02,180
14175_GROUNDFLOOR_0_0_3,1,0.4,0.253,0.264,10.08,10.08,225,180
14175_GROUNDFLOOR_0_0_4,1,0.4,0.253,0.264,2.19,2.19,225,180
14175_GROUNDFLOOR_0_0_5,1,0.4,0.253,0.264,1.04,1.04,225,180
12358_ROOF_11_0_0,17,0.3,0.16,0.164,6.94,6.94,45,45
12358_ROOF_11_0_1,17,0.3,0.16,0.164,1.65,1.65,45,45
12358_ROOF_11_0_2,17,0.3,0.16,0.164,4.25,4.25,45,45
12358_ROOF_12_0_0,17,0.3,0.16,0.164,2.31,2.31,225,45
12358_ROOF_13_0_0,17,0.3,0.16,0.164,0.02,0.02,135,45
12358_ROOF_13_0_1,17,0.3,0.16,0.164,2.81,2.81,135,45
12358_ROOF_14_0_0,17,0.3,0.16,0.164,2.44,2.44,315,45
14199_WALL_5_0_0,7,0.3,0.661,0.733,3.93,3.93,135,90
14199_WALL_6_0_0,7,0.3,0.661,0.733,8.57,6.63,45,90
14199_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,11.64,11.64,225,180
14207_WALL_5_0_0,7,0.3,0.661,0.733,3.14,1.03,45,90
14207_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,0.53,0.53,225.02,180
14207_GROUNDFLOOR_0_0_1,1,0.4,0.253,0.264,1.08,1.08,225,180
14207_GROUNDFLOOR_0_0_2,1,0.4,0.253,0.264,4.26,4.26,225,180
14218_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,4.8,4.8,225,180
14218_GROUNDFLOOR_0_0_1,1,0.4,0.253,0.264,0.21,0.21,225,180
14229_WALL_2_0_0,7,0.3,0.661,0.733,3.14,1.12,315,90
14229_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,3.49,3.49,225,180
14236_WALL_2_0_0,7,0.3,0.661,0.733,4.92,3.97,315,90
14236_WALL_9_0_0,7,0.3,0.661,0.733,5.86,4.9,45,90
14236_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,0.72,0.72,225,180
14236_GROUNDFLOOR_0_0_1,1,0.4,0.253,0.264,0.76,0.76,225,180
14236_GROUNDFLOOR_0_0_2,1,0.4,0.253,0.264,4.61,4.61,225,180
14247_WALL_7_0_0,7,0.3,0.661,0.733,17.57,15.23,135,90
14247_WALL_8_0_0,7,0.3,0.661,0.733,16.15,11.42,45,90
14247_WALL_9_0_0,7,0.3,0.661,0.733,17.57,14.07,315,90
14247_GROUNDFLOOR_0_0_0,1,0.4,0.253,0.264,49.77,49.77,225,180
433_WALL_4_0_0,7,0.3,0.661,0.733,8.41,8.41,135,90
433_EXTFLOOR_1_0_0,21,0.3,0.251,0.264,2.16,2.16,225,180
433_EXTFLOOR_1_0_1,21,0.3,0.251,0.264,2.16,2.16,225,180
433_ROOF_0_0_0,19,0.3,2.953,4.967,29.53,29.53,225,45
433_ROOF_3_0_0,19,0.3,2.953,4.967,29.53,29.53,45,45
12212_ROOF_5_0_0,17,0.3,0.16,0.164,8.22,7.98,315,45
12219_WALL_3_1_0,7,0.3,0.661,0.733,4.12,4.12,135,90
12219_ROOF_5_0_0,17,0.3,0.16,0.164,10.64,10.26,225,45
12226_WALL_1_0_0,7,0.3,0.661,0.733,1.31,1.31,315,90
12226_WALL_6_0_0,7,0.3,0.661,0.733,1.24,1.24,45,90
12226_EXTFLOOR_0_0_0,21,0.3,0.251,0.264,0.63,0.63,225,180
12226_EXTFLOOR_0_0_1,21,0.3,0.251,0.264,2.16,2.16,225,180
12226_ROOF_7_0_0,19,0.3,2.953,4.967,17.09,17.09,315,45
12226_ROOF_8_0_0,19,0.3,2.953,4.967,6.65,6.65,45,45
12236_WALL_8_1_0,7,0.3,0.661,0.733,0.17,0.17,135,90
12236_WALL_8_1_1,7,0.3,0.661,0.733,0.21,0.21,135,90
12236_WALL_8_1_2,7,0.3,0.661,0.733,0.21,0.21,135,90
12236_WALL_8_1_3,7,0.3,0.661,0.733,0.17,0.17,135,90
12236_WALL_8_1_4,7,0.3,0.661,0.733,0.17,0.17,135,90
12236_WALL_8_1_5,7,0.3,0.661,0.733,1.34,1.34,135,90
12236_WALL_8_1_6,7,0.3,0.661,0.733,0.19,0.19,135,90
12236_WALL_8_1_7,7,0.3,0.661,0.733,1.14,0,135,90
12236_WALL_11_0_0,7,0.3,0.661,0.733,10.19,9.46,45,90
12236_WALL_21_0_0,7,0.3,0.661,0.733,0.69,0.69,45,90
12236_WALL_22_0_0,7,0.3,0.661,0.733,0.69,0.69,225,90
12236_EXTFLOOR_20_0_0,21,0.3,0.251,0.264,0.28,0.28,225,180
12236_EXTFLOOR_23_0_0,21,0.3,0.251,0.264,0.28,0.28,225,180
12236_ROOF_17_0_0,17,0.3,0.16,0.164,13.02,13.02,315,45
12236_ROOF_17_0_1,17,0.3,0.16,0.164,0.75,0.75,315,45
12236_ROOF_17_0_2,17,0.3,0.16,0.164,2.55,2.55,315,45
12236_ROOF_18_0_0,17,0.3,0.16,0.164,0.26,0.26,135,45
12236_ROOF_18_0_1,17,0.3,0.16,0.164,0.63,0.63,135,45
12236_ROOF_18_0_2,17,0.3,0.16,0.164,0.61,0.61,135,45
12236_ROOF_18_0_3,17,0.3,0.16,0.164,0.26,0.26,135,45
12236_ROOF_18_0_5,17,0.3,0.16,0.164,0.47,0.47,135,45
12236_ROOF_18_0_6,17,0.3,0.16,0.164,9.68,9.68,135,45
12236_ROOF_18_0_7,17,0.3,0.16,0.164,5.39,5.39,135,45
12236_ROOF_18_0_8,17,0.3,0.16,0.164,0.63,0.63,135,45
12236_ROOF_18_0_9,17,0.3,0.16,0.164,0.48,0.48,135,45
12236_ROOF_18_0_10,17,0.3,0.16,0.164,0.62,0.62,135,45
12236_ROOF_18_0_11,17,0.3,0.16,0.164,0.23,0,135,45
12236_ROOF_19_0_0,17,0.3,0.16,0.164,3.32,3.32,45,51.28
12236_ROOF_24_0_0,17,0.3,0.16,0.164,3.32,3.32,225,51.28
12262_WALL_4_0_0,7,0.3,0.661,0.733,0.12,0.12,45,90
12262_WALL_4_0_1,7,0.3,0.661,0.733,0.23,0.23,45,90
12262_WALL_4_0_2,7,0.3,0.661,0.733,0.15,0.15,45,90
12262_WALL_4_0_3,7,0.3,0.661,0.733,0.12,0.12,45,90
12262_WALL_4_0_4,7,0.3,0.661,0.733,0.12,0.12,45,90
12262_WALL_4_0_5,7,0.3,0.661,0.733,1.4,1.4,45,90
12262_WALL_4_0_6,7,0.3,0.661,0.733,0.14,0.14,45,90
12262_WALL_4_0_7,7,0.3,0.661,0.733,1.33,0,45,90
12262_WALL_15_0_0,7,0.3,0.661,0.733,1.24,1.24,135,90
12262_WALL_18_0_0,7,0.3,0.661,0.733,1.61,1.61,45,90
12262_EXTFLOOR_10_0_0,21,0.3,0.251,0.264,2.07,2.07,225,180
12262_EXTFLOOR_10_0_1,21,0.3,0.251,0.264,1.44,1.44,225,180
12262_ROOF_8_0_0,19,0.3,2.953,4.967,1.29,1.29,45,45
12262_ROOF_8_0_1,19,0.3,2.953,4.967,5.17,5.17,45,45
12262_ROOF_8_0_2,19,0.3,2.953,4.967,3.02,3.02,45,45
12262_ROOF_14_0_0,19,0.3,2.953,4.967,2.34,2.34,135,45
12262_ROOF_14_0_1,19,0.3,2.953,4.967,6.1,6.1,135,45
12262_ROOF_14_0_2,19,0.3,2.953,4.967,8.8,8.8,135,45
12286_WALL_3_0_0,7,0.3,0.661,0.733,0.69,0.69,315,90
12286_WALL_11_0_0,7,0.3,0.661,0.733,0.69,0.69,135,90
12286_WALL_14_1_0,7,0.3,0.661,0.733,0.49,0.49,135,90
12286_WALL_14_1_1,7,0.3,0.661,0.733,5.37,5.37,135,90
12286_EXTFLOOR_0_0_0,21,0.3,0.251,0.264,0.28,0.28,225,180
12286_EXTFLOOR_10_0_0,21,0.3,0.251,0.264,0.28,0.28,225,180
12286_ROOF_1_0_0,17,0.3,0.16,0.164,0.45,0.45,45,45
12286_ROOF_1_0_1,17,0.3,0.16,0.164,0.42,0.42,45,45
12286_ROOF_1_0_2,17,0.3,0.16,0.164,7.47,7.47,45,45
12286_ROOF_1_0_3,17,0.3,0.16,0.164,7,7,45,45
12286_ROOF_1_0_4,17,0.3,0.16,0.164,1.61,1.61,45,45
12286_ROOF_1_0_5,17,0.3,0.16,0.164,1.22,1.22,45,45
12286_ROOF_2_0_0,17,0.3,0.16,0.164,3.31,3.31,315,51.28
12286_ROOF_5_0_0,17,0.3,0.16,0.164,5.01,5.01,225,45
12286_ROOF_9_0_0,17,0.3,0.16,0.164,3.31,3.31,135,51.28
12306_ROOF_5_0_0,17,0.3,0.16,0.164,8.03,7.65,225,45
12313_WALL_14_0_0,7,0.3,0.661,0.733,1.16,1.16,315,90
12313_WALL_16_0_0,7,0.3,0.661,0.733,1.16,1.16,135,90
12313_WALL_17_0_0,7,0.3,0.661,0.733,0.16,0.16,225,90
12313_WALL_17_0_1,7,0.3,0.661,0.733,0.25,0.25,225,90
12313_WALL_17_0_2,7,0.3,0.661,0.733,0.22,0.22,225,90
12313_WALL_17_0_3,7,0.3,0.661,0.733,0.16,0.16,225,90
12313_WALL_17_0_4,7,0.3,0.661,0.733,0.16,0.16,225,90
12313_WALL_17_0_5,7,0.3,0.661,0.733,1.34,1.34,225,90
12313_WALL_17_0_6,7,0.3,0.661,0.733,0.2,0.2,225,90
12313_WALL_17_0_7,7,0.3,0.661,0.733,1.11,0,225,90
12313_EXTFLOOR_11_0_0,21,0.3,0.251,0.264,0.36,0.36,225,180
12313_EXTFLOOR_13_0_0,21,0.3,0.251,0.264,0.36,0.36,225,180
12313_EXTFLOOR_15_0_0,21,0.3,0.251,0.264,0.63,0.63,225,180
12313_ROOF_9_0_0,17,0.3,0.16,0.164,0.4,0.4,225,45
12313_ROOF_9_0_1,17,0.3,0.16,0.164,1.01,1.01,225,45
12313_ROOF_9_0_2,17,0.3,0.16,0.164,0.56,0.56,225,45
12313_ROOF_9_0_3,17,0.3,0.16,0.164,0.52,0.52,225,45
12313_ROOF_9_0_4,17,0.3,0.16,0.164,7.73,7.73,225,45
12313_ROOF_9_0_5,17,0.3,0.16,0.164,2.1,2.1,225,45
12313_ROOF_10_0_0,17,0.3,0.16,0.164,4.05,4.05,135,52.17
12313_ROOF_12_0_0,17,0.3,0.16,0.164,4.05,4.05,315,52.17
12332_WALL_2_0_0,7,0.3,0.661,0.733,0.71,0.71,315,90
12332_WALL_10_0_0,7,0.3,0.661,0.733,0.71,0.71,135,90
12332_EXTFLOOR_1_0_0,21,0.3,0.251,0.264,4.15,4.15,225,180
12332_ROOF_0_0_0,19,0.3,2.953,4.967,3.99,3.99,225,45
12332_ROOF_0_0_1,19,0.3,2.953,4.967,6.49,6.49,225,45
12332_ROOF_0_0_2,19,0.3,2.953,4.967,11.1,11.1,225,45
12344_WALL_1_0_0,7,0.3,0.661,0.733,18.32,16.17,315,90
12344_ROOF_10_0_0,17,0.3,0.16,0.164,3.77,3.77,225,45
12344_ROOF_10_0_1,17,0.3,0.16,0.164,19.37,19.37,225,45
12344_ROOF_11_0_0,17,0.3,0.16,0.164,3.78,3.78,45,45
12344_ROOF_11_0_1,17,0.3,0.16,0.164,13.72,13.72,45,45
12344_ROOF_12_0_0,17,0.3,0.16,0.164,0.36,0.36,315,45